@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE class {breathing,non_breathing}

@DATA
0.011500,0.013178,3.030814,0.062049,0.127448,0.036976,0.022650,0.005870,0.018824,0.227834,0.027197,0.049475,0.025495,0.045412,breathing
0.010200,0.012641,2.996688,0.058637,0.126834,0.027020,0.023267,0.005158,0.017134,0.230450,0.023984,0.048024,0.019276,0.041231,breathing
0.013811,0.009548,3.007534,0.063654,0.128817,0.041798,0.026455,0.007469,0.014574,0.269228,0.026471,0.049024,0.031930,0.057340,breathing
0.011717,0.393489,3.300747,0.168241,0.210527,0.404878,0.026165,0.006007,0.152367,0.019944,0.057289,0.066077,0.195471,0.105066,breathing
0.012623,0.467726,3.301126,0.188500,0.239298,0.398677,0.039402,0.005822,0.110216,0.015422,0.045408,0.049531,0.161671,0.152011,breathing
0.012841,0.395825,3.287527,0.188740,0.238220,0.425978,0.038117,0.005819,0.112893,0.025899,0.046694,0.050935,0.185644,0.108475,breathing
0.011314,0.335421,3.277608,0.172808,0.219874,0.373625,0.082984,0.006331,0.118543,0.034195,0.072359,0.082097,0.206547,0.236565,breathing
0.012833,0.316513,3.275184,0.212596,0.259803,0.468684,0.042460,0.006087,0.127576,0.040907,0.032413,0.027750,0.173063,0.117604,breathing
0.011756,0.401948,3.297193,0.171250,0.217330,0.387056,0.043969,0.006200,0.124482,0.018666,0.066053,0.077597,0.192529,0.160161,breathing
0.012710,0.350358,3.280469,0.196352,0.244311,0.439143,0.051056,0.005847,0.114639,0.034211,0.044414,0.045128,0.184370,0.143639,breathing
0.010608,0.412474,3.295307,0.170188,0.219193,0.354052,0.039016,0.006017,0.111499,0.030323,0.059776,0.066598,0.189906,0.134894,breathing
0.011306,0.375292,3.274750,0.196555,0.247979,0.409080,0.035403,0.004941,0.111928,0.033052,0.039672,0.036399,0.190355,0.097054,breathing
0.007305,0.374225,3.297532,0.122047,0.156691,0.251649,0.050847,0.006416,0.308247,0.080906,0.099267,0.127966,0.222610,0.214713,breathing
0.013325,0.472575,3.299096,0.206297,0.261912,0.435805,0.004383,0.007272,0.075031,0.009812,0.016769,0.004513,0.190316,0.003136,breathing
0.011367,0.607055,3.310917,0.200248,0.260692,0.379110,0.003972,0.003267,0.050682,0.003659,0.010162,0.003792,0.103908,0.003196,breathing
0.011749,0.213248,3.242748,0.164550,0.202544,0.439557,0.086912,0.008777,0.134624,0.076893,0.097370,0.105619,0.308747,0.246265,breathing
0.009218,0.533183,3.299719,0.175078,0.235027,0.308271,0.046689,0.003964,0.086083,0.015214,0.059338,0.069284,0.118638,0.184539,breathing
0.011033,0.215447,3.156788,0.225036,0.266226,0.580589,0.002942,0.005020,0.120493,0.135556,0.021265,0.005414,0.208146,0.002362,breathing
0.008716,0.418371,3.285252,0.157412,0.207815,0.286434,0.097673,0.004892,0.127728,0.031320,0.081338,0.100578,0.167824,0.277671,breathing
0.011630,0.356599,3.264454,0.211499,0.263158,0.458451,0.006487,0.004141,0.121159,0.048346,0.017841,0.004684,0.190821,0.009633,breathing
0.012155,0.398986,3.278451,0.177686,0.228077,0.404527,0.084693,0.007675,0.131063,0.031476,0.076842,0.081232,0.245535,0.239143,breathing
