@RELATION LRtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE class {breathing,non_breathing}

@DATA
0.061439,0.013642,0.000000,0.154643,0.185401,0.556242,0.025083,0.088750,-30.195661,3.136662,0.362055,0.332726,-0.030658,0.025068,-0.112634,0.078473,-0.031878,-0.016783,-0.054658,0.025769,-0.053260,0.027554,0.015483,0.029188,0.031260,0.028637,0.029054,0.017103,0.005764,0.014027,0.014448,0.058500,0.015554,0.025325,0.000839,0.000005,0.000000,0.001687,0.001942,0.008319,0.000048,0.001250,0.709528,0.034127,0.001077,0.002321,0.000195,-0.003447,-0.005872,0.000316,0.001604,-0.002154,-0.001801,0.001946,0.002122,0.000371,0.000124,0.000151,0.000444,0.000521,0.000161,0.000257,0.000161,0.000056,0.000038,-0.001802,0.029570,0.018435,0.000000,0.028176,0.035949,0.293917,0.045346,0.036524,6.891114,0.821410,0.370966,0.252454,0.237135,0.241178,0.185147,0.132524,0.154795,0.161824,0.140370,0.121321,0.116643,0.020922,0.016271,0.020270,0.023992,0.021438,0.022073,0.010978,0.006466,0.013411,0.012870,0.052669,0.014083,0.011299,0.026881,0.014417,0.000000,0.028488,0.036324,0.296541,0.064626,0.036031,4.657873,0.758939,0.443602,0.329515,0.268507,0.239785,0.241191,0.198468,0.183440,0.201694,0.179960,0.169058,0.154300,0.026051,0.020558,0.028437,0.030606,0.029392,0.028741,0.015480,0.008217,0.016974,0.016593,0.050477,breathing
0.055006,0.012918,0.000000,0.142215,0.178141,0.409782,0.030219,0.079575,-31.214670,3.245085,0.481437,0.510475,0.009695,0.130576,-0.120303,0.013667,-0.001096,0.018073,-0.066450,0.029346,-0.024667,0.039565,0.011713,0.037017,0.035538,0.033572,0.029469,0.019006,0.003679,0.015445,0.017600,0.057719,0.014154,0.028091,0.000551,0.000031,0.000000,0.000926,0.001185,0.003138,0.000092,0.000825,0.714862,0.049417,0.001632,0.001320,0.003152,0.001782,-0.000782,0.000634,0.000269,0.002389,0.001167,0.000128,0.000007,0.001015,0.000102,0.000598,0.000561,0.000195,0.000175,0.000423,0.000043,0.000056,0.000331,-0.001623,0.025360,0.016530,0.000000,0.029304,0.032676,0.230842,0.057432,0.034564,7.139713,0.772308,0.396618,0.236959,0.208518,0.225332,0.215339,0.150904,0.123731,0.142726,0.158055,0.129923,0.119099,0.029583,0.011840,0.028526,0.026528,0.027512,0.022806,0.013788,0.004112,0.013712,0.013614,0.049019,0.013621,0.011007,0.022033,0.013891,0.000000,0.026090,0.028621,0.224203,0.087061,0.032835,4.450596,0.661052,0.450264,0.284013,0.218148,0.236194,0.241603,0.203061,0.164314,0.192571,0.179134,0.165470,0.168141,0.039930,0.017882,0.038633,0.034488,0.032701,0.030335,0.017706,0.005603,0.019108,0.018193,0.046845,breathing
0.072841,0.009839,0.000000,0.163377,0.186638,0.639617,0.034614,0.114100,-31.615451,3.002114,0.303476,0.439396,-0.064276,0.084043,-0.142673,0.000596,-0.008135,-0.015665,-0.121066,0.074105,-0.007503,0.029121,0.014122,0.035537,0.029078,0.029223,0.025051,0.024155,0.004734,0.014857,0.018961,0.046908,0.014033,0.024492,0.000401,0.000000,0.000000,0.001828,0.002307,0.002671,0.000162,0.000750,0.634381,0.022370,0.006528,0.006216,0.000432,0.000198,-0.004595,-0.000990,-0.000998,0.001563,0.003557,0.002672,-0.000848,0.000067,0.000040,0.000162,0.000061,0.000073,0.000196,0.000388,0.000066,0.000011,0.000071,-0.000544,0.035882,0.014475,0.000000,0.036915,0.027824,0.407403,0.066495,0.066210,7.274695,0.715788,0.379652,0.200574,0.200085,0.192679,0.203290,0.144931,0.145031,0.128091,0.155662,0.114152,0.126252,0.020759,0.014133,0.025355,0.022603,0.022053,0.021674,0.019295,0.005754,0.011966,0.015466,0.046929,0.014259,0.010762,0.031338,0.011896,0.000000,0.033651,0.029860,0.359545,0.086187,0.058558,4.887671,0.631652,0.447189,0.256733,0.200315,0.236354,0.234285,0.201659,0.193779,0.168202,0.192409,0.148782,0.152257,0.028448,0.019053,0.031739,0.029036,0.029288,0.031821,0.026676,0.008450,0.015609,0.018868,0.050410,breathing
0.053880,0.011254,0.000000,0.127360,0.155133,0.420083,0.056134,0.075125,-41.188173,2.740525,0.453464,0.330079,0.030536,-0.006150,-0.058241,0.094528,-0.042407,-0.012871,-0.021702,-0.023534,-0.046031,0.028372,0.013081,0.022441,0.031521,0.030677,0.027534,0.015924,0.003356,0.015784,0.014289,0.073472,0.016223,0.029042,0.001815,0.000007,0.000000,0.008856,0.011927,0.019754,0.000361,0.004250,3.454705,0.146721,0.050391,0.016712,0.002146,0.002823,0.000906,0.011284,0.002425,0.006480,0.005896,0.000988,0.000951,0.001571,0.000104,0.001345,0.001457,0.001816,0.003907,0.000559,0.000223,0.000371,0.001521,-0.006172,0.030514,0.014267,0.000000,0.048466,0.056849,0.286743,0.150791,0.036235,19.198201,1.161293,0.297150,0.249607,0.216739,0.216501,0.116653,0.073408,0.136715,0.113868,0.125982,0.102317,0.109719,0.021383,0.015629,0.019771,0.027522,0.027193,0.024223,0.014233,0.002766,0.016286,0.013523,0.058281,0.016566,0.011752,0.027056,0.014683,0.000000,0.039976,0.049715,0.279614,0.224997,0.031322,12.492291,0.734236,0.408266,0.269715,0.225470,0.208609,0.137092,0.092847,0.137396,0.123514,0.152869,0.135292,0.137012,0.026220,0.019242,0.028910,0.036248,0.033718,0.027971,0.019323,0.002804,0.021025,0.015134,0.046994,breathing
0.067654,0.018197,0.000000,0.162408,0.189731,0.661255,0.019702,0.102389,-26.416839,3.286731,0.275425,0.282474,-0.087682,0.031035,-0.171649,0.054361,-0.026007,-0.038893,-0.126005,0.038245,-0.109080,0.032706,0.019102,0.025776,0.028514,0.033349,0.018491,0.010708,0.005999,0.014301,0.022889,0.045846,0.018364,0.023238,0.001571,0.001598,0.000000,0.000818,-0.000063,0.012545,0.000301,0.001139,0.123087,-0.005676,-0.002071,-0.004109,-0.007321,-0.006428,-0.013910,-0.001686,0.011009,0.011670,0.005628,-0.005718,0.001384,-0.002311,0.003295,0.000415,-0.001759,0.000114,-0.001002,0.000216,0.000326,-0.000087,0.001596,-0.000569,0.029499,0.023879,0.000000,0.022481,0.026933,0.274301,0.036568,0.034493,4.061115,0.678365,0.424537,0.246632,0.195603,0.231004,0.217433,0.127583,0.185189,0.123147,0.113526,0.144407,0.111505,0.024305,0.018898,0.018686,0.020584,0.024513,0.015935,0.005043,0.004256,0.009337,0.023197,0.048419,0.016956,0.010162,0.024488,0.015299,0.000000,0.023062,0.024386,0.253944,0.051692,0.034548,2.284931,0.581882,0.449279,0.369004,0.306303,0.359314,0.295884,0.156028,0.192707,0.153883,0.109634,0.204222,0.175146,0.032676,0.020023,0.030670,0.023824,0.027471,0.018653,0.007017,0.005189,0.011997,0.030693,0.045780,breathing
0.065971,0.019657,0.000000,0.155798,0.189719,0.574404,0.024457,0.088361,-27.173057,3.278397,0.313995,0.361724,-0.035087,0.029854,-0.101308,0.115931,-0.032364,-0.036511,-0.085153,0.042298,-0.045107,0.022410,0.015188,0.027645,0.025295,0.022105,0.035627,0.022291,0.004793,0.012884,0.013302,0.057307,0.020239,0.024065,-0.001710,0.000299,0.000000,-0.002107,-0.001443,-0.026101,0.000332,-0.002792,-0.018813,0.023987,0.002695,0.031740,0.025027,-0.007158,-0.000397,-0.015219,-0.009654,-0.004995,0.011020,-0.004625,-0.001380,0.000003,0.002629,0.000356,-0.001820,0.000632,-0.001683,0.000776,-0.000757,-0.000226,0.001150,-0.000493,0.027074,0.024926,0.000000,0.023213,0.027423,0.300889,0.029565,0.032871,4.322441,0.732905,0.378608,0.255351,0.182655,0.264608,0.191250,0.217234,0.137773,0.146912,0.131699,0.131371,0.112003,0.016183,0.015677,0.019132,0.015289,0.020346,0.034959,0.019007,0.006248,0.009892,0.008877,0.047365,0.016227,0.009054,0.024626,0.016578,0.000000,0.027030,0.030294,0.292707,0.042508,0.031893,2.540431,0.757024,0.522860,0.316731,0.178158,0.181029,0.283435,0.303283,0.159055,0.190322,0.210053,0.203308,0.165444,0.023330,0.015456,0.021021,0.018953,0.032655,0.049013,0.025552,0.009195,0.014328,0.012568,0.049208,breathing
0.060249,0.020523,0.000000,0.155786,0.190598,0.573707,0.024843,0.090500,-27.073129,3.287956,0.325192,0.215391,-0.098127,0.083885,-0.026684,0.091888,-0.014328,-0.025792,-0.030544,0.048967,-0.049757,0.027277,0.012518,0.035898,0.026306,0.029862,0.028470,0.017351,0.005479,0.009708,0.017642,0.063643,0.013684,0.025883,-0.001231,-0.000147,0.000000,-0.000795,-0.000194,-0.008632,0.000575,-0.000153,-0.103949,0.011153,0.032238,-0.013444,-0.008547,-0.008362,0.008274,0.004873,0.001911,0.011415,0.021641,-0.007438,-0.013652,-0.003009,-0.000217,-0.000779,0.004756,0.002557,-0.003223,0.001974,-0.000054,-0.000419,-0.000287,0.000629,0.029983,0.023303,0.000000,0.023168,0.028742,0.283912,0.029280,0.030335,3.369542,0.816917,0.351936,0.225083,0.310408,0.255865,0.170817,0.138186,0.130609,0.178373,0.159757,0.157538,0.115576,0.024493,0.013568,0.018055,0.014595,0.025423,0.023381,0.009612,0.007618,0.007105,0.014687,0.049743,0.011425,0.011075,0.027086,0.019639,0.000000,0.023720,0.033603,0.289034,0.030339,0.026078,2.893045,0.908677,0.488254,0.278757,0.255860,0.283723,0.168973,0.208047,0.205363,0.240593,0.216419,0.249093,0.139817,0.028593,0.018159,0.025345,0.017091,0.032646,0.028339,0.015049,0.010760,0.009457,0.016482,0.050064,breathing
0.061841,0.016633,0.000000,0.170607,0.200739,0.575752,0.008617,0.094625,-27.371106,3.097033,0.429073,0.418848,0.017148,0.015342,-0.162930,0.090080,-0.049033,-0.030524,-0.068504,0.029625,-0.075579,0.027998,0.012865,0.040294,0.044130,0.036229,0.038321,0.021148,0.005867,0.013448,0.009664,0.041413,0.017916,0.023832,0.002169,-0.000353,0.000000,-0.000182,-0.002191,0.024385,0.001401,0.003333,0.112290,0.034024,-0.040838,-0.023383,-0.014849,-0.012470,-0.025350,-0.004988,-0.008095,-0.019702,-0.022317,-0.010454,-0.005398,0.001240,-0.000006,-0.002059,-0.004906,0.000582,-0.000421,0.000138,0.000546,-0.000270,0.000416,-0.003237,0.026346,0.027921,0.000000,0.023109,0.030085,0.229328,0.005614,0.034741,3.642293,0.686168,0.382009,0.250166,0.197616,0.249851,0.259290,0.159311,0.201119,0.208504,0.150233,0.139165,0.110708,0.022166,0.012304,0.019731,0.029336,0.026258,0.022958,0.010659,0.006119,0.014534,0.008264,0.038204,0.014295,0.009703,0.021911,0.021659,0.000000,0.027289,0.032183,0.239942,0.007129,0.035372,2.267978,0.790376,0.392426,0.342720,0.279129,0.261043,0.301509,0.228431,0.249807,0.265342,0.206111,0.149361,0.154962,0.028772,0.014476,0.030298,0.031704,0.043745,0.021559,0.014869,0.008036,0.020821,0.012591,0.041827,breathing
0.059174,0.013886,0.000000,0.144793,0.175433,0.522813,0.037078,0.083800,-32.793823,3.049819,0.345742,0.330649,-0.022033,0.042297,-0.094757,0.079340,-0.024321,-0.004456,-0.067419,0.000679,-0.072807,0.028315,0.014704,0.025277,0.031163,0.027493,0.026856,0.014571,0.004090,0.014984,0.014178,0.064206,0.015165,0.027097,0.001927,0.000015,0.000000,0.003075,0.003456,0.016080,0.000154,0.002100,1.428015,0.074104,0.000767,0.003112,-0.002989,-0.010978,-0.007016,0.004350,0.000069,-0.002804,0.001487,0.005327,-0.000547,0.000648,0.000223,0.000198,0.000493,0.000341,0.000565,0.000301,0.000690,0.000129,0.000346,-0.003575,0.031223,0.018314,0.000000,0.032745,0.041831,0.315375,0.080215,0.039151,10.275966,0.971162,0.348747,0.252774,0.215166,0.224601,0.155805,0.122112,0.159319,0.135187,0.127199,0.130642,0.108216,0.021791,0.014283,0.020032,0.026190,0.021113,0.023764,0.010614,0.004606,0.014774,0.014187,0.062184,0.015216,0.012965,0.026879,0.013600,0.000000,0.030559,0.041374,0.312398,0.116431,0.036419,6.821015,0.787582,0.451090,0.310145,0.257259,0.225498,0.208621,0.181962,0.194971,0.177613,0.172574,0.184402,0.145656,0.029953,0.018039,0.029805,0.035677,0.025251,0.031847,0.014058,0.004987,0.018021,0.018478,0.056154,breathing
0.062801,0.014951,0.000000,0.163070,0.194129,0.576241,0.014865,0.093017,-27.497997,3.218675,0.364095,0.357332,-0.022149,0.017602,-0.121861,0.074334,-0.034130,-0.023037,-0.041490,0.037713,-0.037142,0.026086,0.012829,0.035653,0.036859,0.030902,0.032944,0.019703,0.005033,0.012088,0.013392,0.052201,0.017390,0.024244,-0.000470,-0.000127,0.000000,0.000128,0.000377,-0.006294,0.000509,-0.000294,-0.023962,-0.004400,0.007156,0.001808,0.005916,0.003373,-0.008869,-0.004164,-0.001196,0.004177,-0.000752,0.002212,0.000591,0.000456,-0.000466,0.000160,-0.000394,0.000527,-0.000289,0.000435,0.000069,-0.000079,-0.000288,-0.000733,0.027017,0.020860,0.000000,0.021855,0.029113,0.259191,0.013860,0.030934,3.636468,0.698654,0.407030,0.248072,0.244327,0.232178,0.197776,0.175788,0.156888,0.193502,0.155464,0.131981,0.118126,0.020427,0.013851,0.019955,0.022226,0.023160,0.023982,0.011685,0.005727,0.010928,0.011414,0.041943,0.014643,0.009076,0.024635,0.016347,0.000000,0.026253,0.034233,0.262494,0.015203,0.030963,2.534955,0.798082,0.480819,0.321198,0.237748,0.257896,0.225430,0.248401,0.188441,0.236574,0.205885,0.196474,0.158658,0.026089,0.018179,0.029267,0.025682,0.034967,0.030633,0.016814,0.007787,0.014853,0.013555,0.044640,breathing
