timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Ambient Light-0,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0,bluetooth_le-F1:5F:C5:86:3E:30-Pressure-0,bluetooth_le-F1:5F:C5:86:3E:30-Temperature-1
1637330717988,,,,0.9866220816370589,
1637330717989,328.1452484350468,,,,
1637330718079,,0.0,,,33.76936340332031
1637330718126,,,99.67247009277344,0.9865939208321768,
1637330718169,342.07078427296346,,,,
1637330718213,,,,,33.787174224853516
1637330718214,,,99.70226287841797,,
1637330718258,,,,0.9866469294060727,
1637330718260,367.1562048884259,,,,
1637330718393,,0.0,,,
1637330718394,,,,,33.76936340332031
1637330718438,,,99.64595794677734,,
1637330718440,,,,0.986639926852987,
1637330718484,402.7397376024876,,,,
1637330718528,,,,,33.76936340332031
1637330718529,,,99.74864959716797,,
1637330718574,,,,0.986312011598276,
1637330718575,444.2877203812971,,,,
1637330718709,,0.0,,,33.76936340332031
1637330718754,,,99.81487274169922,0.986613422566039,
1637330718800,473.3812865196108,,,,
1637330718844,,,99.78837585449219,,33.751556396484375
1637330718889,,,,0.9862946181599663,
1637330718890,479.7688125747511,,,,
1637330719024,,0.0,,,33.751556396484375
1637330719069,,,99.78837585449219,0.9866150790839733,
1637330719114,477.6334782907746,,,,
1637330719158,,,,,33.787174224853516
1637330719159,,,99.751953125,,
1637330719204,,,,0.9866162838242891,
1637330719205,452.4822852647644,,,,
1637330719338,,0.0,,,
1637330719339,,,,,33.787174224853516
1637330719384,,,99.67909240722656,0.9866211027855524,
1637330719429,426.1838369352267,,,,
1637330719519,,,99.5333480834961,,33.76936340332031
1637330719564,,,,0.986628105338638,
1637330719565,400.8208108206512,,,,
1637330719656,,0.0,,,33.80498123168945
1637330719699,,,99.42737579345703,0.9866427881112371,
1637330719744,363.5153109542348,,,,
1637330719789,,,99.29489135742188,,33.76936340332031
1637330719834,345.5979011846211,,,0.9866353337805329,
1637330719924,,0.0,,,33.7159423828125
1637330719969,,,99.19883728027344,0.98642887140891,
1637330720014,324.70891344200567,,,,
1637330720059,,,,,33.76936340332031
1637330720060,,,99.1690444946289,,
1637330720103,,,,0.9866719277676258,
1637330720105,309.4629325840259,,,,
1637330720194,,0.0,,,33.751556396484375
1637330720239,,,99.16572570800781,0.98665920269804,
1637330720284,312.8205357688906,,,,
1637330720329,,,99.1061019897461,,33.751556396484375
1637330720374,,,,0.9866644734369217,
1637330720375,301.1436022033441,,,,
1637330720464,,0.0,,,33.76936340332031
1637330720509,,,99.20547485351562,0.9866003963113743,
1637330720554,294.5638439466953,,,,
1637330720599,,,99.26507568359375,,33.76936340332031
1637330720643,,,,0.9863054608228087,
1637330720644,292.9292943401977,,,,
1637330720734,,0.0,,,33.82278823852539
1637330720779,,,99.27833557128906,0.986625244080388,
1637330720824,289.6725611289809,,,,
1637330720869,,,99.50355529785156,,33.80498123168945
1637330720914,,,,0.9866172626757956,
1637330720915,286.4321580586634,,,,
1637330721004,,0.0,,,33.787174224853516
1637330721048,,,99.55322265625,,
1637330721049,,,,0.9863066655631245,
1637330721094,289.6725611289809,,,,
1637330721140,,,,,33.80498123168945
1637330721141,,,99.64265441894531,,
1637330721185,,,,0.9866433151851252,
1637330721186,307.79052798907594,,,,
1637330721274,,0.0,,,33.84059524536133
1637330721320,,,99.71221923828125,0.9866464023321845,
1637330721364,338.562100050038,,,,
1637330721409,,,99.8016357421875,,33.80498123168945
1637330721454,,,,0.9865975350531242,
1637330721499,376.3440831270724,,,,
1637330721544,,0.0,,,33.80498123168945
1637330721589,,,99.79170227050781,0.9866803609498365,
1637330721634,408.52821187382904,,,,
1637330721679,,,99.93742370605469,,33.82278823852539
1637330721723,,,,0.9864066590093372,
1637330721724,440.2250463808651,,,,
1637330721814,,0.0,,,33.80498123168945
1637330721860,,,99.9771728515625,0.9866845022446721,
1637330721904,469.15349211585084,,,,
1637330721949,,,99.98048400878906,,33.82278823852539
1637330721994,499.26793627545976,,,0.9866698194720731,
1637330722129,,0.0,,,33.80498123168945
1637330722174,,,100.0003662109375,0.9864457377733314,
1637330722219,523.8095000217301,,,,
1637330722263,,,,,33.80498123168945
1637330722264,,,100.0467300415039,,
1637330722308,,,,0.986657772068915,
1637330722310,539.8496381892382,,,,
1637330722443,,0.0,,,
1637330722444,,,,,33.76936340332031
1637330722488,,,100.05996704101562,,
1637330722490,,,,0.9863842960172249,
1637330722534,535.2323644849425,,,,
