timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
1638783099969,278.4019796039199,104.97173309326172
1638783100014,,105.03797912597656
1638783100059,296.20251269433084,
1638783100149,316.1953882543661,105.0810317993164
1638783100239,,105.1373291015625
1638783100240,333.3333333333333,
1638783100330,,105.20689392089844
1638783100331,347.36840710415464,
1638783100466,,105.10420989990234
1638783100554,361.70212582475517,
1638783100555,372.6541438243005,105.19695281982422
1638783100644,,105.28306579589844
1638783100646,387.5338813482023,
1638783100779,,105.32280731201172
1638783100780,402.7397376024876,
1638783100870,418.28254902895475,105.44534301757812
1638783100959,436.1851437413944,105.4917221069336
1638783101094,,105.63414001464844
1638783101095,456.61453030681747,
1638783101275,,105.70368957519531
1638783101276,475.50434498298785,105.81298828125
1638783101278,497.0760088376885,
1638783101365,,105.85935974121094
1638783101409,519.2878422776885,
1638783101500,,106.00177764892578
1638783101501,539.8496381892382,
1638783101589,,106.1176986694336
1638783101590,563.3587609906766,
1638783101680,,106.17730712890625
1638783101681,585.1393469598327,
1638783101814,,106.34622192382812
1638783101815,610.0629232695665,
1638783101904,,106.38265991210938
1638783101910,635.7827587424782,
1638783101994,,106.44227600097656
1638783101995,659.6434566271827,
1638783102129,,106.58138275146484
1638783102130,684.2104833872392,
1638783102220,,106.67742919921875
1638783102221,712.3745643306245,
1638783102309,,106.8099136352539
1638783102310,735.5932215279939,
1638783102447,753.4246993659943,106.90264892578125
1638783102579,771.6262288278092,106.93245697021484
1638783102624,,107.03182220458984
1638783102625,787.085526951597,
1638783102759,,107.09143829345703
1638783102760,796.4912867054464,
1638783102849,,107.16429901123047
1638783102850,805.9964557174136,
1638783102939,,107.27690887451172
1638783102984,812.3894158406005,
1638783103029,,107.42595672607422
1638783103030,815.6029044559532,
1638783103165,,107.43257141113281
1638783103166,818.8276892850282,
1638783103254,822.0640583344865,107.49220275878906
1638783103344,,107.5948715209961
1638783103390,822.0640583344865,
1638783103479,,107.67767333984375
1638783103480,818.8276892850282,
1638783103569,812.3894158406005,107.51206970214844
1638783103659,,107.42263793945312
1638783103704,799.6484394735362,
1638783103794,,107.32990264892578
1638783103795,783.9720915696773,
1638783103884,,107.18748474121094
1638783103885,762.4784534552823,
1638783103974,,107.10799407958984
1638783104019,735.5932215279939,
1638783104109,,106.84634399414062
1638783104110,703.8269536788234,
1638783104199,,106.73042297363281
1638783104200,667.7524419595793,
1638783104293,625.396846224362,106.5648193359375
1638783104426,582.6893512834213,106.43234252929688
1638783104514,,106.25016784667969
1638783104515,539.8496381892382,
1638783104607,,106.15081787109375
1638783104608,497.0760088376885,
1638783104739,,105.92559814453125
1638783104741,456.61453030681747,
1638783104831,,105.85273742675781
1638783104833,416.32089920384647,
1638783104920,,105.66063690185547
1638783104922,376.3440831270724,
1638783105055,,105.51821899414062
1638783105056,340.31413570085226,
1638783105144,,105.36585998535156
1638783105146,304.45860889776407,
1638783105234,270.47147874108975,105.2168197631836
1638783105325,,105.05453491210938
1638783105326,241.21212441870884,
1638783105505,,104.95848083496094
1638783105506,214.70936121274457,
1638783105549,,104.86573791503906
1638783105551,193.47320207507804,
1638783105639,,104.6902084350586
1638783105685,174.3119250803963,
1638783105819,162.31555261924413,104.74982452392578
1638783105864,,104.77632141113281
1638783105865,158.3710396988616,
1638783105954,,104.70014953613281
1638783105999,159.68290507101528,
1638783106090,164.9601827409251,104.79287719726562
1638783106180,,104.77963256835938
1638783106181,175.66015833061738,
1638783106269,,104.92204284667969
1638783106270,190.69768287737128,
1638783106405,,104.94192504882812
1638783106407,207.54716234217366,
1638783106494,,105.02140808105469
1638783106495,229.29171379908067,
1638783106584,,105.0412826538086
1638783106585,250.3052500137855,
1638783106721,276.8079714917693,105.15389251708984
1638783106809,,105.26981353759766
1638783106810,306.1224281266563,
1638783106899,,105.39898681640625
1638783106945,336.81462308726606,
1638783107034,,105.41554260253906
1638783107035,370.8166029277889,
1638783107124,,105.52484130859375
1638783107125,410.46831686327073,
1638783107214,,105.64407348632812
1638783107215,448.3733959171901,
1638783107349,,105.75999450683594
1638783107350,490.538577934194,
1638783107439,,105.7169418334961
1638783107440,532.9341233672134,
1638783107529,,105.91566467285156
1638783107530,568.1470334891222,
1638783107619,,105.96865844726562
1638783107620,599.9999713897719,
1638783107755,,106.0183334350586
1638783107756,627.9809151956324,
1638783107845,648.9533098474853,106.13094329833984
1638783107934,,106.2369384765625
1638783107935,667.7524419595793,
1638783108070,681.4449680463816,106.30979919433594
1638783108159,,106.37934875488281
1638783108160,689.76901977507,
1638783108249,,106.20712280273438
1638783108294,695.364193395381,
1638783108385,,106.15744018554688
1638783108389,689.76901977507,
1638783108475,678.6885399755631,106.07463836669922
1638783108565,,105.97859191894531
1638783108610,659.6434566271827,
1638783108699,,105.8328628540039
1638783108700,633.1738839081177,
1638783108789,,105.76661682128906
1638783108790,602.5039305719853,
1638783108879,570.552148073805,105.63082885742188
1638783109014,,105.43541717529297
1638783109015,535.2323644849425,
1638783109105,494.8905137049014,105.35261535644531
1638783109194,,105.2565689086914
1638783109195,456.61453030681747,
1638783109329,,105.11083984375
1638783109330,416.32089920384647,
1638783109420,,104.94523620605469
1638783109421,378.19650492048123,
1638783109510,,104.8359375
1638783109512,340.31413570085226,
1638783109644,,104.64051818847656
1638783109645,306.1224281266563,
1638783109734,,104.50141906738281
1638783109738,272.0497037830848,
1638783109825,242.71845334391327,104.39543914794922
1638783109960,216.15201239222944,104.27951049804688
1638783110049,,104.27288818359375
1638783110050,199.0632271818838,
1638783110139,,104.24971008300781
1638783110141,189.3147555326545,
1638783110274,,104.31594848632812
1638783110275,186.5585126786544,
1638783110364,,104.32257080078125
1638783110366,187.93503313940778,
1638783110454,,104.48817443847656
1638783110456,196.2616778698663,
1638783110544,,104.52790832519531
1638783110589,208.97284486589837,
1638783110680,,104.60740661621094
1638783110725,226.34731379102112,
1638783110769,,104.68359375
1638783110770,245.74209730423934,
1638783110905,,104.74651336669922
1638783110906,268.897150255812,
1638783111041,296.20251269433084,104.90217590332031
1638783111087,,105.02140808105469
1638783111088,324.70891344200567,
1638783111175,358.09019428186605,105.02472686767578
1638783111310,395.09536990077555,105.21019744873047
1638783111400,,105.25987243652344
1638783111401,434.1736790364072,
1638783111489,,105.32611846923828
1638783111490,477.6334782907746,
1638783111624,,105.46522521972656
1638783111626,519.2878422776885,
1638783111714,,105.5115966796875
1638783111716,560.9755934454873,
1638783111805,595.0155666013057,105.63082885742188
1638783111940,625.396846224362,105.72356414794922
1638783112029,,105.84280395507812
1638783112031,651.6129202649204,
1638783112119,,105.94878387451172
1638783112120,670.4730920636382,
1638783112254,,106.03158569335938
1638783112255,689.76901977507,
1638783112344,,106.18063354492188
1638783112345,703.8269536788234,
1638783112436,,106.20050048828125
1638783112437,715.2429322016238,
1638783112524,,106.32966613769531
1638783112525,723.9057285546821,
1638783112659,,106.29654693603516
1638783112661,732.6565223626582,
1638783112750,,106.34954833984375
1638783112751,732.6565223626582,
1638783112839,,106.23361206054688
1638783112841,729.7297203253447,
1638783112975,,106.22036743164062
1638783112976,718.120844437946,
1638783113065,,106.04814147949219
1638783113069,698.1757361067023,
1638783113155,,106.00839233398438
1638783113203,670.4730920636382,
1638783113289,,105.82624816894531
1638783113291,638.4000060882569,
1638783113379,,105.70368957519531
1638783113380,599.9999713897719,
1638783113514,,105.55464935302734
1638783113516,560.9755934454873,
1638783113605,,105.45198059082031
1638783113606,519.2878422776885,
1638783113694,,105.32280731201172
