timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
1637996660310,,94.24734497070312
1637996660354,110.62906289679431,
1637996660444,,94.35662841796875
1637996660445,117.9039291489786,
1637996660535,,94.42619323730469
1637996660537,131.49170508617192,
1637996660624,,94.50236511230469
1637996660625,147.98205771742826,
1637996660761,,94.70771026611328
1637996660764,168.9497669073066,
1637996660850,,94.90312194824219
1637996660851,189.3147555326545,
1637996660941,211.834327057586,95.00910949707031
1637996661077,,95.17802429199219
1637996661081,238.21040507600145,
1637996661165,,95.33036804199219
1637996661166,267.32673014908283,
1637996661256,,95.4396743774414
1637996661258,299.49238506188277,
1637996661390,,95.67152404785156
1637996661392,335.0717080572195,
1637996661481,,95.83711242675781
1637996661483,374.4966447746951,
1637996661570,,96.00935363769531
1637996661572,416.32089920384647,
1637996661705,,96.15838623046875
1637996661706,462.8571378124004,
1637996661796,,96.31405639648438
1637996661799,508.10012069228895,
1637996661885,,96.48959350585938
1637996661886,558.5997077486041,
1637996662021,,96.60551452636719
1637996662022,599.9999713897719,
1637996662110,,96.74131774902344
1637996662114,638.4000060882569,
1637996662201,670.4730920636382,96.95658874511719
1637996662291,,97.06588745117188
1637996662292,698.1757361067023,
1637996662425,,97.25135803222656
1637996662426,715.2429322016238,
1637996662515,,97.42027282714844
1637996662516,726.8128585605816,
1637996662605,,97.58918762207031
1637996662606,738.5399029156301,
1637996662740,,97.68193054199219
1637996662741,747.4403271676648,
1637996662831,,97.8243408203125
1637996662832,756.4322287469943,
1637996662920,,97.93363952636719
1637996662921,765.5172086527472,
1637996663055,,98.04624938964844
1637996663057,771.6262288278092,
1637996663146,,98.23835754394531
1637996663147,777.7777159655584,
1637996663235,,98.30789184570312
1637996663236,774.6967007035672,
1637996663370,,98.4536361694336
1637996663371,774.6967007035672,
1637996663460,,98.56623840332031
1637996663463,771.6262288278092,
1637996663550,,98.64241790771484
1637996663551,774.6967007035672,
1637996663686,,98.76165771484375
1637996663688,774.6967007035672,
1637996663775,,98.79808044433594
1637996663779,774.6967007035672,
1637996663865,,98.88751220703125
1637996663866,768.5664800300808,
1637996663955,,99.04318237304688
1637996663956,753.4246993659943,
1637996664090,,99.13259887695312
1637996664092,732.6565223626582,
1637996664180,,99.08293151855469
1637996664181,715.2429322016238,
1637996664270,,99.16240692138672
1637996664271,700.9966333207651,
1637996664406,,99.21209716796875
1637996664407,684.2104833872392,
1637996664496,,99.28826904296875
