timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
1637994853610,206.12485543065225,110.91353607177734
1637994853700,236.71498184357242,110.88041687011719
1637994853790,,111.01620483398438
1637994853791,270.47147874108975,
1637994853925,311.13957700843696,111.07582092285156
1637994854015,352.70805323638746,111.23149108886719
1637994854105,,111.33085632324219
1637994854106,400.8208108206512,
1637994854240,,111.41696166992188
1637994854241,454.5454446934474,
1637994854330,,111.52626037597656
1637994854331,512.555414357086,
1637994854420,577.8120282542552,111.60905456542969
1637994854517,648.9533098474853,111.68524169921875
1637994854645,726.8128585605816,111.8276596069336
1637994854735,,111.90052032470703
1637994854736,812.3894158406005,
1637994854825,899.8144079579533,111.98332214355469
1637994854960,,112.10255432128906
1637994854961,965.4511396055334,
1637994855050,,112.20191955566406
1637994855051,1015.7480391235656,
1637994855140,,112.26815795898438
1637994855186,1043.9121917941357,
1637994855279,1064.5160635353789,112.32777404785156
1637994855365,1077.0791494362115,112.43707275390625
1637994855455,,112.5794906616211
1637994855500,1089.79589503589,
1637994855590,,112.64904022216797
1637994855591,1098.360709399508,
1637994855680,,112.68217468261719
1637994855681,1106.9959102976018,
1637994855775,,112.80139923095703
1637994855815,1115.702521108099,
1637994855905,,112.88420104980469
1637994855906,1124.4812988774768,
1637994855995,,112.90737915039062
1637994855996,1133.3333243264092,
1637994856085,1133.3333243264092,112.94712829589844
1637994856221,1137.7870371123897,113.08953857421875
1637994856310,1142.2594045403562,113.10942077636719
1637994856445,,113.18228149414062
1637994856446,1142.2594045403562,
1637994856535,,113.30482482910156
1637994856536,1133.3333243264092,
1637994856625,,113.28826904296875
1637994856626,1111.340187337602,
1637994856716,,113.37769317626953
1637994856718,1068.6868156689625,
1637994856850,1011.7877758890887,113.45387268066406
1637994856940,,113.54330444335938
1637994856941,946.7681294987414,
1637994857030,,113.58966064453125
1637994857031,875.4579175087867,
1637994857120,,113.67247009277344
1637994857121,802.8168906249881,
1637994857255,,113.63603210449219
1637994857256,729.7297203253447,
1637994857345,659.6434566271827,113.76852416992188
1637994857435,,113.88774871826172
1637994857436,590.0620716064535,
1637994857570,,113.91755676269531
1637994857571,521.5453235298872,
1637994857661,458.6894462267708,113.93080139160156
1637994857750,402.7397376024876,113.93743896484375
1637994857885,,114.07653045654297
1637994857886,349.14360299405985,
1637994857975,,114.1328353881836
1637994857976,301.1436022033441,
1637994858065,256.4417296444107,114.11958312988281
1637994858200,,114.15602111816406
1637994858201,216.15201239222944,
1637994858290,,114.23219299316406
1637994858291,182.44803152668354,
1637994858380,,114.26863098144531
1637994858381,157.06214274603363,
1637994858515,137.7777824496047,114.33155822753906
1637994858605,,114.3050537109375
1637994858650,121.57721466092909,
1637994858696,,114.36468505859375
1637994858697,110.62906289679431,
