timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
1637997262614,,109.7940673828125
1637997262616,450.4249516907538,
1637997262749,479.7688125747511,109.88679504394531
1637997262838,,109.90335083007812
1637997262839,517.0370083650623,
1637997262929,,109.90667724609375
1637997262930,549.1679151017039,
1637997263064,577.8120282542552,110.02922058105469
1637997263154,,110.06233978271484
1637997263156,592.534995739256,
1637997263243,,110.08883666992188
1637997263245,595.0155666013057,
1637997263379,,110.072265625
1637997263380,595.0155666013057,
1637997263472,,110.0656509399414
1637997263473,587.5968609976039,
1637997263559,,110.09877014160156
1637997263560,577.8120282542552,
1637997263693,,110.06896209716797
1637997263695,551.5151299983681,
1637997263792,,110.08221435546875
1637997263799,528.3582074510995,
1637997263875,,110.08552551269531
1637997263876,508.10012069228895,
1637997263964,,109.98616027832031
1637997263966,488.3720794840724,
1637997264098,,110.02922058105469
1637997264100,475.50434498298785,
1637997264190,,110.05240631103516
1637997264192,464.9499278348915,
1637997264279,,110.1451416015625
1637997264280,456.61453030681747,
1637997264414,,110.23125457763672
1637997264415,450.4249516907538,
1637997264509,,110.26106262207031
1637997264510,446.3276673833569,
1637997264594,,110.36705017089844
1637997264595,450.4249516907538,
1637997264729,,110.446533203125
1637997264733,464.9499278348915,
1637997264820,,110.50283813476562
1637997264825,481.9102576711703,
1637997264909,,110.56245422363281
1637997264911,497.0760088376885,
1637997265044,,110.68169403076172
1637997265047,510.3245010035411,
1637997265134,,110.6419448852539
1637997265135,523.8095000217301,
1637997265224,,110.73136901855469
1637997265225,542.1686544527705,
1637997265314,,110.8472900390625
1637997265359,568.1470334891222,
1637997265449,,110.82742309570312
1637997265450,595.0155666013057,
1637997265539,,110.84066772460938
1637997265540,617.6935310496627,
1637997265629,,110.85060119628906
1637997265674,641.0256645383223,
1637997265764,,110.94334411621094
1637997265765,659.6434566271827,
1637997265855,,110.88041687011719
1637997265856,670.4730920636382,
1637997265989,,110.98308563232422
1637997265990,678.6885399755631,
1637997266079,,110.99302673339844
1637997266080,681.4449680463816,
1637997266170,,110.95989990234375
1637997266172,678.6885399755631,
1637997266304,,110.93339538574219
1637997266305,673.202603888627,
1637997266394,,110.91022491455078
1637997266395,662.3376233719702,
1637997266484,,110.88703918457031
1637997266486,643.659675112003,
1637997266574,,110.88372802734375
1637997266575,625.396846224362,
1637997266709,,110.8472900390625
1637997266710,607.5352961259179,
1637997266799,,110.84066772460938
1637997266801,575.3845976564311,
1637997266889,,110.82742309570312
1637997266937,535.2323644849425,
1637997267024,,110.78105163574219
1637997267025,505.8823557791,
1637997267114,,110.7413101196289
1637997267117,488.3720794840724,
1637997267204,,110.79430389404297
1637997267249,479.7688125747511,
1637997267339,,110.83404541015625
1637997267342,471.2643936455603,
1637997267429,,110.94334411621094
1637997267431,464.9499278348915,
1637997267520,,111.01289367675781
1637997267523,460.77034690833864,
1637997267654,,111.0261459350586
1637997267656,458.6894462267708,
1637997267744,,111.06588745117188
1637997267745,458.6894462267708,
1637997267834,,111.1453857421875
1637997267835,462.8571378124004,
1637997267969,,111.27455139160156
1637997267970,467.0487265548845,
1637997268059,,111.30435180664062
1637997268060,477.6334782907746,
1637997268148,,111.38383483886719
1637997268150,494.8905137049014,
1637997268288,510.3245010035411,111.40702819824219
1637997268374,,111.51963806152344
1637997268376,526.0804877418584,
1637997268464,,111.50638580322266
1637997268466,556.2310268216803,
1637997268554,,111.49644470214844
1637997268599,592.534995739256,
1637997268689,,111.55607604980469
1637997268691,620.2531851478318,
1637997268779,,111.60905456542969
1637997268781,635.7827587424782,
1637997268914,,111.51632690429688
1637997268916,643.659675112003,
1637997269005,,111.4732666015625
1637997269010,646.3022755772461,
1637997269094,,111.47657775878906
1637997269099,643.659675112003,
1637997269184,,111.43352508544922
1637997269185,635.7827587424782,
1637997269327,,111.3772201538086
1637997269328,625.396846224362,
1637997269409,,111.35734558105469
1637997269410,610.0629232695665,
1637997269502,,111.34078979492188
1637997269504,582.6893512834213,
1637997269634,,111.2977294921875
1637997269636,568.1470334891222,
1637997269723,,111.30766296386719
1637997269724,558.5997077486041,
1637997269816,551.5151299983681,111.30766296386719
1637997269950,,111.39378356933594
1637997269951,544.4947444617188,
1637997270039,,111.49644470214844
1637997270041,542.1686544527705,
1637997270129,,111.50638580322266
1637997270130,539.8496381892382,
1637997270264,,111.54613494873047
1637997270265,539.8496381892382,
1637997270354,,111.68524169921875
1637997270356,539.8496381892382,
1637997270444,,111.74154663085938
1637997270448,539.8496381892382,
1637997270579,,111.75810241699219
1637997270581,544.4947444617188,
1637997270669,,111.89057922363281
1637997270673,551.5151299983681,
1637997270760,,111.87732696533203
1637997270804,558.5997077486041,
1637997270939,,111.96343994140625
1637997270941,568.1470334891222,
1637997270984,,111.98993682861328
1637997270986,582.6893512834213,
1637997271074,,112.08268737792969
1637997271076,602.5039305719853,
1637997271209,,112.08268737792969
1637997271210,627.9809151956324,
1637997271299,,112.03962707519531
1637997271304,643.659675112003,
1637997271389,,112.20523834228516
1637997271390,651.6129202649204,
1637997271524,,112.0992431640625
1637997271526,654.2810496565507,
1637997271614,,112.0992431640625
1637997271620,654.2810496565507,
1637997271704,,112.06611633300781
1637997271705,651.6129202649204,
1637997271795,,112.10254669189453
1637997271797,643.659675112003,
1637997271930,,112.08268737792969
1637997271932,633.1738839081177,
1637997272019,,112.06611633300781
1637997272021,617.6935310496627,
1637997272109,,112.0230712890625
1637997272110,592.534995739256,
1637997272244,,112.0296859741211
1637997272245,572.9646407810333,
1637997272334,,112.03632354736328
1637997272336,560.9755934454873,
1637997272424,,112.0694351196289
1637997272425,553.8694763975475,
1637997272560,,112.17210388183594
1637997272563,546.8277618699892,
1637997272649,,112.15554809570312
1637997272650,542.1686544527705,
1637997272739,,112.22511291503906
1637997272741,537.5375617838239,
1637997272874,,112.18204498291016
1637997272875,535.2323644849425,
1637997272964,,112.31452941894531
1637997272968,535.2323644849425,
1637997273055,,112.37745666503906
1637997273056,537.5375617838239,
1637997273144,,112.35095977783203
1637997273146,539.8496381892382,
1637997273278,,112.5198745727539
1637997273280,544.4947444617188,
1637997273369,,112.5033187866211
1637997273371,553.8694763975475,
1637997273459,,112.56956481933594
1637997273460,563.3587609906766,
1637997273594,,112.62586975097656
1637997273596,575.3845976564311,
1637997273684,,112.74177551269531
1637997273685,595.0155666013057,
1637997273774,,112.68217468261719
1637997273823,622.8209158813169,
1637997273909,,112.73184204101562
1637997273910,641.0256645383223,
1637997273999,,112.79808044433594
1637997274001,651.6129202649204,
1637997274134,,112.81463623046875
1637997274135,659.6434566271827,
1637997274225,,112.76496887207031
1637997274226,662.3376233719702,
1637997274314,,112.77490234375
1637997274316,659.6434566271827,
1637997274405,,112.81134033203125
1637997274408,654.2810496565507,
1637997274538,,112.79478454589844
1637997274539,651.6129202649204,
1637997274629,,112.66891479492188
1637997274630,641.0256645383223,
1637997274719,,112.76165008544922
1637997274721,627.9809151956324,
1637997274854,,112.7285385131836
1637997274855,607.5352961259179,
1637997274944,,112.71198272705078
