timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
1637995485052,,113.37106323242188
1637995485097,376.3440831270724,
1637995485187,,113.36775970458984
1637995485190,420.2496346377629,
1637995485277,,113.44392395019531
1637995485278,469.15349211585084,
1637995485369,523.8095000217301,113.40750122070312
1637995485503,,113.47373962402344
1637995485504,582.6893512834213,
1637995485593,641.0256645383223,113.42406463623047
1637995485683,692.5619384384471,113.5267333984375
1637995485817,,113.46380615234375
1637995485818,732.6565223626582,
1637995485907,,113.44392395019531
1637995485911,762.4784534552823,
1637995485997,,113.52011108398438
1637995485998,787.085526951597,
1637995486133,809.1872559736419,113.6062240600586
1637995486223,825.3119832950387,113.56316375732422
1637995486313,841.7265421855247,113.66252899169922
1637995486403,855.0724608135483,113.74864196777344
1637995486537,,113.68902587890625
1637995486538,865.2095454121638,
1637995486627,,113.75857543945312
1637995486628,875.4579175087867,
1637995486717,,113.73870849609375
1637995486718,885.8195095103594,
1637995486852,,113.79501342773438
1637995486853,896.2963675275317,
1637995486943,903.3457769492085,113.80825805664062
1637995487033,,113.81819152832031
1637995487077,892.7910960653628,
1637995487167,,113.82150268554688
1637995487168,861.818259524518,
1637995487257,,113.79501342773438
1637995487258,818.8276892850282,
1637995487348,,113.79832458496094
1637995487393,783.9720915696773,
1637995487483,,113.86456298828125
1637995487484,735.5932215279939,
1637995487573,,113.86456298828125
1637995487574,675.9410314009385,
1637995487662,,113.91424560546875
1637995487663,612.5984281869496,
1637995487797,,113.78838348388672
1637995487798,553.8694763975475,
1637995487887,,113.79169464111328
1637995487888,494.8905137049014,
1637995487978,438.2022389738328,113.76852416992188
1637995488112,,113.74864196777344
1637995488114,387.5338813482023,
1637995488203,338.562100050038,113.81819152832031
1637995488292,,113.8016357421875
1637995488293,292.9292943401977,
1637995488382,,113.71221923828125
1637995488427,250.3052500137855,
1637995488518,208.97284486589837,113.72877502441406
1637995488607,,113.61283874511719
1637995488608,171.6247090897872,
1637995488792,,113.63603210449219
1637995488793,142.85714285714286,
1637995488922,,113.65921783447266
1637995488923,124.03951753366982,113.66252899169922
1637995488924,109.42578740418371,
1637995489060,90.5218298052234,113.61946868896484
