timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
1638105376792,430.1675983383237,
1638105376878,,122.0684814453125
1638105376879,430.1675983383237,
1638105376968,,122.0916748046875
1638105377013,426.1838369352267,
1638105377106,420.2496346377629,122.0718002319336
1638105377193,412.41379785027436,122.00225830078125
1638105377329,,121.97574615478516
1638105377330,402.7397376024876,
1638105377419,,121.96582794189453
1638105377420,391.3043437698163,
1638105377508,,121.95919036865234
1638105377510,376.3440831270724,
1638105377600,352.70805323638746,121.97574615478516
1638105377733,326.4248454653038,121.92276000976562
1638105377823,,121.8929443359375
1638105377824,301.1436022033441,
1638105377914,,121.91282653808594
1638105377915,284.818082749614,
1638105378049,275.2179175532079,121.8863296508789
1638105378157,,121.8929443359375
1638105378158,267.32673014908283,
1638105378228,,121.94595336914062
1638105378229,262.63871284548355,
1638105378364,259.5325831483612,121.92276000976562
1638105378453,259.5325831483612,121.97244262695312
1638105378543,,121.95919036865234
1638105378545,261.0837389361802,
1638105378680,264.19754144022954,122.05856323242188
1638105378768,,122.02213287353516
1638105378769,268.897150255812,
1638105378859,,122.05192565917969
1638105378860,278.4019796039199,
1638105378994,286.4321580586634,122.14466094970703
1638105379084,296.20251269433084,122.141357421875
1638105379173,307.79052798907594,122.12478637695312
1638105379263,328.1452484350468,122.13804626464844
1638105379398,,122.18772888183594
1638105379399,350.92347092875866,
1638105379489,,122.16453552246094
1638105379490,374.4966447746951,
1638105379579,,122.16785430908203
1638105379580,387.5338813482023,
1638105379717,395.09536990077555,122.18441009521484
1638105379803,,122.14797973632812
1638105379804,396.9986277374971,
1638105379893,,122.0916748046875
1638105379894,395.09536990077555,
1638105380028,,122.18109130859375
1638105380032,391.3043437698163,
1638105380118,,122.10160827636719
1638105380119,385.65628121334447,
1638105380210,376.3440831270724,122.15460205078125
1638105380343,,122.03205108642578
1638105380344,365.3333372819689,
1638105380434,,122.0718002319336
1638105380435,352.70805323638746,
1638105380523,336.81462308726606,122.00888061523438
1638105380614,312.8205357688906,122.01217651367188
1638105380748,297.84538613132423,122.05192565917969
1638105380838,,122.04530334472656
1638105380839,286.4321580586634,
1638105380929,279.99998397827244,122.0419921875
1638105381063,,122.01217651367188
1638105381065,275.2179175532079,
1638105381153,,122.0486068725586
1638105381154,275.2179175532079,
1638105381243,,122.06185913085938
1638105381289,275.2179175532079,
1638105381378,278.4019796039199,122.13804626464844
1638105381468,,122.1181640625
1638105381469,284.818082749614,
1638105381559,,122.16785430908203
1638105381603,291.2988654196775,
1638105381693,,122.16121673583984
1638105381694,299.49238506188277,
1638105381783,,122.27714538574219
1638105381784,311.13957700843696,
1638105381873,,122.27052307128906
1638105381918,324.70891344200567,
1638105382008,,122.2970199584961
1638105382012,338.562100050038,
1638105382099,,122.31689453125
1638105382100,354.4973656770844,
1638105382188,,122.3665771484375
1638105382190,374.4966447746951,
1638105382323,400.8208108206512,122.35664367675781
1638105382413,422.2222177481946,122.35332489013672
1638105382503,438.2022389738328,122.39639282226562
1638105382638,448.3733959171901,122.35000610351562
1638105382728,454.5454446934474,122.39968872070312
1638105382818,454.5454446934474,122.37982177734375
1638105382954,,122.31027221679688
1638105382955,442.2535116221788,
1638105383043,,122.37319946289062
1638105383044,430.1675983383237,
1638105383134,,122.35993957519531
1638105383135,416.32089920384647,
1638105383268,396.9986277374971,122.38975524902344
1638105383358,,122.33345031738281
1638105383359,370.8166029277889,
1638105383449,349.14360299405985,122.2904052734375
1638105383583,333.3333333333333,122.33345031738281
1638105383673,,122.40962982177734
1638105383676,324.70891344200567,
1638105383763,316.1953882543661,122.3665771484375
1638105383853,307.79052798907594,122.36326599121094
1638105383988,304.45860889776407,122.40301513671875
1638105384078,,122.40301513671875
1638105384080,301.1436022033441,
1638105384169,299.49238506188277,122.40631103515625
1638105384303,301.1436022033441,122.48249053955078
1638105384393,,122.55535125732422
1638105384394,302.7989619816315,
1638105384483,,122.5387954711914
1638105384484,309.4629325840259,
1638105384619,324.70891344200567,122.57854461669922
1638105384710,,122.58186340332031
1638105384712,342.07078427296346,
1638105384798,358.09019428186605,122.65140533447266
1638105384933,,122.7176513671875
1638105384935,383.78379367580396,
1638105385023,,122.7640151977539
1638105385026,414.36462669282946,
1638105385113,,122.81370544433594
1638105385114,442.2535116221788,
1638105385248,460.77034690833864,122.79051208496094
1638105385338,,122.81037902832031
1638105385339,475.50434498298785,
1638105385428,484.0579442531229,122.81700134277344
1638105385518,481.9102576711703,122.89981842041016
1638105385653,467.0487265548845,122.87330627441406
1638105385743,452.4822852647644,122.84019470214844
1638105385833,,122.82363891601562
1638105385834,440.2250463808651,
1638105385969,426.1838369352267,122.85675048828125
1638105386060,400.8208108206512,122.85345458984375
1638105386148,,122.81700134277344
1638105386149,372.6541438243005,
1638105386283,343.83201949125566,122.86338806152344
1638105386373,316.1953882543661,122.86668395996094
1638105386463,,122.87001037597656
1638105386508,288.0503085911886,
1638105386598,267.32673014908283,122.81037902832031
1638105386692,251.83373789526448,122.88987731933594
1638105386778,239.70944337603478,122.88656616210938
1638105386913,230.76922230466616,122.86338806152344
1638105387003,223.4169600066818,122.87001037597656
1638105387093,217.59810478213183,122.91637420654297
1638105387228,223.4169600066818,122.98262023925781
1638105387318,233.7349486216043,123.08197021484375
1638105387408,,123.04885864257812
1638105387409,244.22843963895474,
1638105387544,,123.02566528320312
1638105387545,254.9019488679685,
1638105387633,265.7601990281764,123.07534790039062
1638105387723,284.818082749614,123.05879211425781
1638105387858,311.13957700843696,123.12503814697266
1638105387948,336.81462308726606,123.2177734375
1638105388038,,123.1912612915039
1638105388039,365.3333372819689,
1638105388173,,123.2376480102539
1638105388174,395.09536990077555,
1638105388263,,123.31050872802734
1638105388264,420.2496346377629,
1638105388353,,123.32374572753906
1638105388354,436.1851437413944,
1638105388443,448.3733959171901,123.28070068359375
1638105388578,458.6894462267708,123.30387115478516
1638105388668,464.9499278348915,123.35025787353516
1638105388758,,123.34362030029297
1638105388759,469.15349211585084,
1638105388893,,123.30387115478516
1638105388894,467.0487265548845,
1638105388983,,123.28401184082031
1638105388984,458.6894462267708,
1638105389073,450.4249516907538,123.30387115478516
1638105389208,432.16781156046505,123.33367919921875
1638105389298,,123.33367919921875
1638105389299,408.52821187382904,
1638105389388,380.05392496390925,123.31050872802734
1638105389523,352.70805323638746,123.23432922363281
1638105389613,,123.2210922241211
1638105389614,331.599453730682,
1638105389703,316.1953882543661,123.27737426757812
1638105389838,,123.25752258300781
1638105389839,306.1224281266563,
1638105389928,297.84538613132423,123.31382751464844
1638105390018,,123.27075958251953
1638105390019,291.2988654196775,
1638105390108,286.4321580586634,123.30056762695312
1638105390243,283.20802140395097,123.33700561523438
1638105390333,281.601993764116,123.40986633300781
1638105390423,281.601993764116,123.38005065917969
1638105390558,286.4321580586634,123.41317749023438
1638105390648,294.5638439466953,123.51917266845703
1638105390739,,123.54566955566406
1638105390741,302.7989619816315,
1638105390873,,123.48936462402344
1638105390874,319.5876414343309,
1638105390964,342.07078427296346,123.53904724121094
1638105391053,,123.62184143066406
1638105391098,368.98394781041407,
1638105391189,396.9986277374971,123.57547760009766
1638105391278,,123.60527038574219
1638105391279,418.28254902895475,
1638105391368,,123.55889892578125
1638105391369,436.1851437413944,
1638105391505,,123.55560302734375
1638105391506,446.3276673833569,
1638105391593,,123.6185302734375
1638105391594,454.5454446934474,
1638105391683,,123.61190795898438
1638105391684,460.77034690833864,
1638105391819,464.9499278348915,123.60858917236328
1638105391908,,123.63508605957031
1638105391909,464.9499278348915,
1638105391999,464.9499278348915,123.56553649902344
1638105392135,460.77034690833864,123.63839721679688
1638105392223,454.5454446934474,123.58871459960938
1638105392313,434.1736790364072,123.56884002685547
1638105392448,406.59339274491816,123.56553649902344
1638105392538,380.05392496390925,123.56884002685547
1638105392630,363.5153109542348,123.56884002685547
1638105392763,350.92347092875866,123.55228424072266
1638105392853,,123.56222534179688
1638105392854,342.07078427296346,
1638105392943,335.0717080572195,123.50923156738281
1638105393033,,123.62846374511719
1638105393035,328.1452484350468,
1638105393168,,123.60527038574219
1638105393169,324.70891344200567,
1638105393259,,123.61190795898438
1638105393262,322.99739572383675,
1638105393348,,123.69139099121094
1638105393349,321.29033839516615,
1638105393483,,123.65165710449219
1638105393485,322.99739572383675,
1638105393573,324.70891344200567,123.70132446289062
1638105393663,328.1452484350468,123.69800567626953
1638105393798,333.3333333333333,123.77750396728516
1638105393888,340.31413570085226,123.75100708007812
1638105393978,,123.78411865234375
1638105393979,361.70212582475517,
1638105394113,389.4165479267486,123.88679504394531
1638105394203,416.32089920384647,123.8735580444336
1638105394293,,123.82386779785156
1638105394294,436.1851437413944,
1638105394428,450.4249516907538,123.87686157226562
1638105394518,460.77034690833864,123.86361694335938
1638105394608,467.0487265548845,123.96297454833984
1638105394698,,123.90335083007812
1638105394699,475.50434498298785,
1638105394833,479.7688125747511,123.95965576171875
1638105394923,479.7688125747511,123.919921875
1638105395013,479.7688125747511,123.8901138305664
1638105395148,475.50434498298785,123.85700225830078
1638105395238,471.2643936455603,123.92654418945312
1638105395328,450.4249516907538,123.92654418945312
1638105395463,424.2002776014619,123.919921875
1638105395553,,123.86361694335938
1638105395554,402.7397376024876,
1638105395643,,123.93647766113281
1638105395688,389.4165479267486,
1638105395778,,123.94309997558594
1638105395779,378.19650492048123,
1638105395868,,123.92654418945312
1638105395869,370.8166029277889,
1638105396003,363.5153109542348,123.8901138305664
1638105396093,358.09019428186605,123.94641876220703
1638105396183,356.29139601653634,123.96297454833984
1638105396273,354.4973656770844,123.99278259277344
1638105396408,354.4973656770844,123.97622680664062
1638105396500,,124.02922058105469
1638105396501,354.4973656770844,
1638105396589,356.29139601653634,124.05570983886719
1638105396723,359.8937523746633,124.06234741210938
1638105396813,,124.0921401977539
1638105396814,363.5153109542348,
1638105396903,,124.10539245605469
1638105396904,370.8166029277889,
1638105397038,,124.10871887207031
1638105397039,391.3043437698163,
1638105397128,416.32089920384647,124.16502380371094
1638105397217,,124.12527465820312
1638105397218,438.2022389738328,
1638105397353,,124.16169738769531
1638105397356,454.5454446934474,
1638105397443,464.9499278348915,124.22794342041016
1638105397533,,124.20144653320312
1638105397534,473.3812865196108,
1638105397668,,124.18157958984375
1638105397669,481.9102576711703,
1638105397758,,124.15508270263672
1638105397759,486.2118955858545,
1638105397850,,124.22132873535156
1638105397851,488.3720794840724,
1638105397938,488.3720794840724,124.25775146484375
1638105398073,488.3720794840724,124.17495727539062
1638105398163,,124.23455810546875
1638105398164,486.2118955858545,
1638105398253,479.7688125747511,124.20475006103516
1638105398388,475.50434498298785,124.20144653320312
1638105398478,454.5454446934474,124.1153335571289
1638105398568,,124.17825317382812
1638105398569,434.1736790364072,
1638105398703,,124.21138763427734
1638105398704,418.28254902895475,
1638105398793,408.52821187382904,124.17163848876953
1638105398883,402.7397376024876,124.21469116210938
1638105399018,,124.22462463378906
1638105399019,398.90710798281384,
1638105399108,395.09536990077555,124.18819427490234
1638105399198,393.1972616929975,124.26769256591797
1638105399288,391.3043437698163,124.28424835205078
1638105399424,391.3043437698163,124.22794342041016
1638105399513,,124.34716796875
1638105399516,391.3043437698163,
1638105399603,,124.3438720703125
1638105399604,393.1972616929975,
1638105399741,,124.35379028320312
1638105399742,396.9986277374971,
1638105399828,400.8208108206512,124.35379028320312
1638105399918,,124.35049438476562
1638105399919,406.59339274491816,
1638105400053,414.36462669282946,124.42002868652344
1638105400143,436.1851437413944,124.43328857421875
1638105400233,,124.48627471923828
1638105400278,458.6894462267708,
1638105400368,,124.5492172241211
1638105400369,473.3812865196108,
1638105400458,484.0579442531229,124.42335510253906
1638105400548,,124.39685821533203
1638105400593,490.538577934194,
1638105400683,494.8905137049014,124.37698364257812
1638105400773,497.0760088376885,124.48297119140625
1638105400863,494.8905137049014,124.40017700195312
1638105400998,494.8905137049014,124.35710906982422
1638105401088,490.538577934194,124.41673278808594
1638105401179,486.2118955858545,124.38360595703125
1638105401313,477.6334782907746,124.39022064208984
1638105401403,,124.294189453125
1638105401404,458.6894462267708,
1638105401493,444.2877203812971,124.37698364257812
1638105401628,,124.38691711425781
1638105401629,434.1736790364072,
1638105401719,424.2002776014619,124.28756713867188
1638105401808,418.28254902895475,124.35049438476562
1638105401943,412.41379785027436,124.3173599243164
1638105402033,408.52821187382904,124.39685821533203
1638105402123,404.6639299320293,124.36042785644531
1638105402258,,124.43991088867188
1638105402259,404.6639299320293,
1638105402348,,124.42002868652344
1638105402349,404.6639299320293,
1638105402438,404.6639299320293,124.46310424804688
1638105402528,408.52821187382904,124.40347290039062
1638105402664,410.46831686327073,124.46971893310547
1638105402753,416.32089920384647,124.48959350585938
1638105402844,,124.5260238647461
1638105402978,430.1675983383237,124.58232879638672
1638105403068,,124.60220336914062
1638105403069,450.4249516907538,
1638105403158,,124.58894348144531
1638105403159,464.9499278348915,
1638105403294,473.3812865196108,124.63531494140625
1638105403383,481.9102576711703,124.61213684082031
1638105403473,486.2118955858545,124.5955810546875
1638105403608,,124.569091796875
1638105403609,490.538577934194,
1638105403698,,124.60220336914062
1638105403699,492.711360672877,
1638105403788,494.8905137049014,124.57571411132812
1638105403878,492.711360672877,124.65188598632812
1638105404013,490.538577934194,124.55913543701172
1638105404103,488.3720794840724,124.53596496582031
1638105404193,,124.5723876953125
1638105404194,481.9102576711703,
1638105404328,475.50434498298785,124.5723876953125
1638105404418,,124.48297119140625
1638105404419,464.9499278348915,
1638105404508,,124.53596496582031
1638105404509,454.5454446934474,
1638105404643,,124.56245422363281
1638105404644,446.3276673833569,
1638105404733,438.2022389738328,124.53263854980469
1638105404823,,124.44652557373047
1638105404868,432.16781156046505,
1638105404958,,124.53263854980469
1638105404959,426.1838369352267,
1638105405049,,124.53263854980469
1638105405093,422.2222177481946,
1638105405138,,124.5492172241211
1638105405184,420.2496346377629,
1638105405273,,124.58232879638672
1638105405274,418.28254902895475,
1638105405363,418.28254902895475,124.5955810546875
1638105405453,,124.53596496582031
1638105405454,420.2496346377629,
1638105405588,420.2496346377629,124.59226989746094
1638105405678,,124.65188598632812
1638105405679,424.2002776014619,
1638105405768,,124.5723876953125
1638105405769,428.172964031484,
1638105405903,,124.61875915527344
1638105405904,436.1851437413944,
1638105405993,442.2535116221788,124.64524841308594
1638105406083,,124.62207794189453
1638105406084,452.4822852647644,
1638105406218,462.8571378124004,124.71149444580078
1638105406308,,124.7479248046875
1638105406309,471.2643936455603,
1638105406398,477.6334782907746,124.67838287353516
1638105406533,481.9102576711703,124.64857482910156
1638105406623,,124.60220336914062
1638105406624,486.2118955858545,
1638105406713,488.3720794840724,124.68832397460938
1638105406848,,124.69825744628906
1638105406849,486.2118955858545,
1638105406938,,124.64857482910156
1638105406939,484.0579442531229,
1638105407028,479.7688125747511,124.65518951416016
1638105407118,,124.68499755859375
1638105407119,473.3812865196108,
1638105407253,,124.68170166015625
1638105407254,456.61453030681747,
1638105407343,,124.59226989746094
1638105407344,436.1851437413944,
1638105407433,,124.67506408691406
1638105407434,424.2002776014619,
1638105407568,,124.60882568359375
1638105407569,414.36462669282946,
1638105407658,,124.61213684082031
1638105407659,406.59339274491816,
1638105407748,,124.5955810546875
1638105407749,400.8208108206512,
1638105407884,,124.53596496582031
1638105407885,395.09536990077555,
1638105407973,,124.62869262695312
1638105407974,391.3043437698163,
1638105408063,391.3043437698163,124.60882568359375
1638105408198,,124.64524841308594
1638105408199,389.4165479267486,
1638105408288,389.4165479267486,124.58894348144531
1638105408378,,124.76118469238281
1638105408379,389.4165479267486,
1638105408468,,124.69493865966797
1638105408469,393.1972616929975,
1638105408603,,124.67174530029297
1638105408604,396.9986277374971,
1638105408693,,124.721435546875
1638105408694,402.7397376024876,
1638105408783,,124.73136901855469
1638105408784,410.46831686327073,
1638105408918,,124.7909927368164
1638105408919,428.172964031484,
1638105409008,,124.7711181640625
1638105409009,448.3733959171901,
1638105409098,,124.78105163574219
1638105409100,460.77034690833864,
1638105409233,469.15349211585084,124.83074188232422
1638105409323,477.6334782907746,124.81416320800781
1638105409413,,124.76118469238281
1638105409458,484.0579442531229,
1638105409548,,124.76118469238281
1638105409551,488.3720794840724,
1638105409638,,124.7677993774414
1638105409639,492.711360672877,
1638105409728,,124.83074188232422
1638105409773,494.8905137049014,
1638105409863,,124.76449584960938
1638105409865,494.8905137049014,
1638105409953,492.711360672877,124.81086730957031
1638105410043,,124.77774047851562
1638105410044,490.538577934194,
1638105410178,,124.73468780517578
1638105410179,486.2118955858545,
1638105410268,479.7688125747511,124.7744369506836
1638105410358,,124.7711181640625
1638105410359,473.3812865196108,
1638105410494,460.77034690833864,124.71149444580078
1638105410583,448.3733959171901,124.7280502319336
1638105410673,,124.7677993774414
1638105410674,440.2250463808651,
1638105410808,432.16781156046505,124.7512435913086
1638105410898,,124.7512435913086
1638105410899,428.172964031484,
1638105410988,,124.70819091796875
1638105410989,422.2222177481946,
1638105411123,,124.67174530029297
1638105411124,420.2496346377629,
1638105411213,,124.7280502319336
1638105411214,416.32089920384647,
1638105411303,,124.7512435913086
1638105411304,416.32089920384647,
1638105411439,414.36462669282946,124.76449584960938
1638105411528,414.36462669282946,124.81086730957031
1638105411618,416.32089920384647,124.81086730957031
1638105411708,420.2496346377629,124.75456237792969
1638105411843,424.2002776014619,124.78435516357422
1638105411933,430.1675983383237,124.82410430908203
1638105412023,,124.81748962402344
1638105412024,436.1851437413944,
1638105412158,,124.87379455566406
1638105412161,448.3733959171901,
1638105412248,,124.77774047851562
1638105412249,460.77034690833864,
1638105412338,,124.85391235351562
1638105412339,467.0487265548845,
1638105412473,,124.87709045410156
1638105412474,473.3812865196108,
1638105412563,,124.85723876953125
1638105412564,477.6334782907746,
1638105412653,,124.80422973632812
1638105412654,479.7688125747511,
1638105412788,,124.85723876953125
1638105412789,481.9102576711703,
1638105412878,,124.81086730957031
1638105412879,481.9102576711703,
1638105412968,481.9102576711703,124.81416320800781
1638105413103,479.7688125747511,124.81416320800781
1638105413193,,124.81416320800781
1638105413194,475.50434498298785,
1638105413283,,124.74130249023438
1638105413284,471.2643936455603,
1638105413373,,124.7943115234375
1638105413375,458.6894462267708,
1638105413508,442.2535116221788,124.76118469238281
1638105413598,,124.7677993774414
1638105413599,428.172964031484,
1638105413688,,124.75785827636719
1638105413689,418.28254902895475,
1638105413823,,124.69161987304688
1638105413824,410.46831686327073,
1638105413913,404.6639299320293,124.68170166015625
1638105414003,,124.7512435913086
1638105414048,398.90710798281384,
1638105414138,,124.73800659179688
1638105414139,395.09536990077555,
1638105414228,393.1972616929975,124.75785827636719
1638105414318,,124.721435546875
1638105414363,391.3043437698163,
1638105414453,391.3043437698163,124.73800659179688
1638105414543,,124.85723876953125
1638105414544,393.1972616929975,
1638105414633,,124.77774047851562
1638105414678,395.09536990077555,
1638105414769,396.9986277374971,124.78105163574219
1638105414858,,124.86053466796875
1638105414859,400.8208108206512,
1638105414948,,124.82080078125
1638105414949,406.59339274491816,
1638105415083,,124.78105163574219
1638105415084,418.28254902895475,
1638105415173,434.1736790364072,124.86385345458984
1638105415263,,124.83404541015625
1638105415264,446.3276673833569,
1638105415399,454.5454446934474,124.7943115234375
1638105415489,460.77034690833864,124.80754852294922
1638105415578,,124.797607421875
1638105415579,464.9499278348915,
1638105415713,,124.78767395019531
1638105415714,464.9499278348915,
1638105415803,,124.7711181640625
1638105415804,467.0487265548845,
1638105415893,,124.83735656738281
1638105415894,464.9499278348915,
1638105416029,462.8571378124004,124.7943115234375
1638105416119,458.6894462267708,124.73800659179688
1638105416208,,124.76118469238281
1638105416209,450.4249516907538,
1638105416343,,124.7479248046875
1638105416344,440.2250463808651,
1638105416434,428.172964031484,124.7280502319336
1638105416523,,124.66513061523438
1638105416524,416.32089920384647,
1638105416613,,124.71481323242188
1638105416614,406.59339274491816,
1638105416748,398.90710798281384,124.59888458251953
1638105416838,,124.67174530029297
1638105416839,391.3043437698163,
1638105416928,,124.71149444580078
1638105416929,387.5338813482023,
1638105417063,,124.71481323242188
1638105417064,383.78379367580396,
1638105417153,,124.66844177246094
1638105417154,380.05392496390925,
1638105417243,380.05392496390925,124.65850830078125
1638105417378,,124.66844177246094
1638105417379,380.05392496390925,
1638105417468,,124.69493865966797
1638105417469,380.05392496390925,
1638105417558,,124.74130249023438
1638105417559,383.78379367580396,
1638105417693,,124.71481323242188
1638105417694,387.5338813482023,
1638105417783,,124.76449584960938
1638105417784,391.3043437698163,
1638105417874,400.8208108206512,124.7280502319336
1638105417963,,124.7711181640625
1638105417964,412.41379785027436,
1638105418098,,124.78767395019531
1638105418099,424.2002776014619,
1638105418188,,124.84066009521484
1638105418189,436.1851437413944,
1638105418278,,124.75456237792969
1638105418279,444.2877203812971,
1638105418413,,124.70819091796875
1638105418414,452.4822852647644,
1638105418503,456.61453030681747,124.83074188232422
1638105418593,,124.82410430908203
1638105418638,460.77034690833864,
1638105418728,,124.67506408691406
