timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
1638428027720,497.0760088376885,117.07061767578125
1638428027811,,117.15341186523438
1638428027813,542.1686544527705,
1638428027989,580.2469426149145,117.19648742675781
1638428028034,617.6935310496627,117.16667175292969
1638428028125,,117.28260040283203
1638428028126,654.2810496565507,
1638428028215,,117.34220886230469
1638428028217,686.9851465380194,
1638428028350,,117.39189147949219
1638428028352,718.120844437946,
1638428028442,,117.41838073730469
1638428028444,753.4246993659943,
1638428028530,,117.48794555664062
1638428028532,783.9720915696773,
1638428028665,,117.48462677001953
1638428028667,809.1872559736419,
1638428028757,,117.52437591552734
1638428028758,831.8425444524546,
1638428028846,,117.6137924194336
1638428028847,851.717821198114,
1638428028981,,117.60055541992188
1638428028983,868.6130555464089,
1638428029070,,117.68003845214844
1638428029073,885.8195095103594,
1638428029160,,117.71646118164062
1638428029162,903.3457769492085,
1638428029295,,117.69990539550781
1638428029297,917.6030724567294,
1638428029385,,117.77609252929688
1638428029387,932.075426414712,
1638428029520,,117.80590057373047
1638428029523,943.0740682197406,
1638428029566,,117.84895324707031
1638428029567,954.1983847142766,
1638428029700,,117.92181396484375
1638428029702,961.685767531953,
1638428029790,,117.94830322265625
1638428029792,969.2306590221463,
1638428029881,,117.94500732421875
1638428029883,973.0249882730453,
1638428030015,,117.98143005371094
1638428030017,980.6576149067859,
1638428030106,,118.01786804199219
1638428030108,984.4961313092145,
1638428030196,,118.0410385131836
1638428030197,980.6576149067859,
1638428030331,,118.10066223144531
1638428030332,969.2306590221463,
1638428030421,,118.1039810180664
1638428030424,946.7681294987414,
1638428030510,,118.07746887207031
1638428030560,903.3457769492085,
1638428030645,,118.0642318725586
1638428030647,848.3755009178943,
1638428030735,,117.98473358154297
1638428030738,780.8695247448255,
1638428030826,,118.04435729980469
1638428030871,712.3745643306245,
1638428030961,,117.97481536865234
1638428030963,646.3022755772461,
1638428031050,,117.86882019042969
1638428031052,582.6893512834213,
1638428031141,,117.8787612915039
1638428031143,521.5453235298872,
1638428031276,,117.75289916992188
1638428031278,462.8571378124004,
1638428031366,,117.74627685546875
1638428031368,410.46831686327073,
1638428031455,,117.68997192382812
1638428031457,359.8937523746633,
1638428031590,,117.62040710449219
1638428031591,314.5057945404732,
1638428031680,,117.58068084716797
1638428031682,270.47147874108975,
1638428031771,,117.50118255615234
1638428031772,229.29171379908067,
1638428031906,,117.4283218383789
1638428031908,193.47320207507804,
1638428031996,,117.36869812011719
1638428031997,162.31555261924413,
1638428032085,,117.34552001953125
1638428032090,137.7777824496047,
1638428032222,,117.33890533447266
1638428032223,119.12568877150498,
1638428032310,,117.29251861572266
1638428032312,107.02702713737182,
1638428032401,,117.21633911132812
1638428032403,99.89258871671858,
1638428032491,,117.18984985351562
1638428032492,95.18716470742984,
1638428032625,,117.1799087524414
1638428032627,90.5218298052234,
1638428032715,,117.07723999023438
1638428032717,88.20404183285565,
1638428032806,,117.02424621582031
1638428032808,85.89607565712083,
1638428032941,,117.06068420410156
1638428032942,84.74576134203633,
1638428033030,,116.96794128417969
1638428033032,83.59788132002211,
1638428033122,,116.92819213867188
1638428033124,82.45243012594217,
1638428033256,,116.92819213867188
1638428033259,82.45243012594217,
1638428033346,,116.86859130859375
1638428033347,83.59788132002211,
1638428033436,,116.90502166748047
1638428033437,88.20404183285565,
1638428033574,,116.86859130859375
1638428033575,96.35974048255775,
1638428033662,,116.87521362304688
1638428033664,104.63862275416236,
