relative_time,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
0,,120.85296630859375
1,729.7297203253447,
89,774.6967007035672,120.81985473632812
224,,120.79998016357422
225,831.8425444524546,
314,,120.84634399414062
315,889.2988045798326,
404,946.7681294987414,120.83641052246094
539,992.2177819318267,120.67742919921875
629,1027.7227349164932,120.69731140136719
719,,120.7204818725586
720,1060.3621908417538,
855,,120.63438415527344
856,1085.539712759162,
944,,120.71056365966797
945,1111.340187337602,
1035,1128.8980866510478,120.66749572753906
1170,,120.64100646972656
1214,1142.2594045403562,
1259,,120.57144165039062
1260,1160.3375358170151,
1349,1174.0976003565147,120.65093994140625
1484,1178.7234203995706,120.67411804199219
1575,,120.68405151367188
1576,1188.0341287212777,
1664,,120.7668685913086
1665,1192.7194221445839,
1844,,120.69731140136719
1845,1197.4248951544064,
1889,1197.4248951544064,120.7436752319336
1979,1192.7194221445839,120.69398498535156
2069,1188.0341287212777,120.71717834472656
2204,,120.80329895019531
2205,1178.7234203995706,
2294,,120.77017211914062
2295,1169.4914781646617,
2384,1155.7894890576522,120.75028991699219
2519,,120.74699401855469
2520,1137.7870371123897,
2609,,120.77678680419922
2610,1115.702521108099,
2699,,120.79336547851562
2700,1094.0694595065177,
2834,,120.75361633300781
2836,1064.5160635353789,
2925,1027.7227349164932,120.79998016357422
3014,,120.77678680419922
3059,992.2177819318267,
3104,,120.87615966796875
3105,961.685767531953,
3239,,120.82647705078125
3240,939.39399368945,
3329,921.2006631109815,120.85296630859375
3419,,120.81985473632812
3420,906.8900703599686,
3554,,120.82317352294922
3555,896.2963675275317,
3644,,120.83641052246094
3645,889.2988045798326,
3734,,120.72711944580078
3735,885.8195095103594,
3869,,120.78010559082031
3870,885.8195095103594,
3959,889.2988045798326,120.68405151367188
4049,,120.69068908691406
4050,896.2963675275317,
4184,906.8900703599686,120.7138671875
4275,921.2006631109815,120.66087341308594
4364,,120.68075561523438
4365,939.39399368945,
4499,965.4511396055334,120.61450958251953
4590,992.2177819318267,120.60787200927734
4679,1027.7227349164932,120.54826354980469
4814,,120.57144165039062
4859,1060.3621908417538,
4904,1094.0694595065177,120.5118408203125
4994,1115.702521108099,120.5184555053711
5129,,120.50520324707031
5130,1137.7870371123897,
5219,1151.2605238075307,120.48534393310547
5309,,120.538330078125
5310,1169.4914781646617,
5399,1178.7234203995706,120.49195861816406
5534,1188.0341287212777,120.5648193359375
5624,,120.57807922363281
5625,1192.7194221445839,
5759,,120.60125732421875
5760,1197.4248951544064,
5849,,120.57476043701172
5850,1197.4248951544064,
5939,,120.60456848144531
5940,1197.4248951544064,
6030,1192.7194221445839,120.62445068359375
6164,,120.59463500976562
6165,1183.3688073725812,
6255,,120.62112426757812
6260,1174.0976003565147,
6344,,120.59795379638672
6345,1155.7894890576522,
6480,1120.0827850492872,120.62112426757812
6569,1072.874460787925,120.69731140136719
6659,,120.68075561523438
6660,1019.7238071354342,
6795,,120.59463500976562
6796,976.83389950193,
6884,950.4761667359719,120.58137512207031
6976,,120.69068908691406
6977,928.4369544251069,
7109,,120.63768005371094
7110,910.4478583885156,
7199,896.2963675275317,120.55156707763672
7289,889.2988045798326,120.5648193359375
7380,,120.5416488647461
7425,878.8990460424645,
7514,,120.54495239257812
7515,872.0293067100224,
7605,868.6130555464089,120.50851440429688
7694,,120.45553588867188
7695,868.6130555464089,
7829,872.0293067100224,120.40916442871094
7919,875.4579175087867,120.40916442871094
