timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
1638263219546,,120.85296630859375
1638263219547,729.7297203253447,
1638263219635,774.6967007035672,120.81985473632812
1638263219770,,120.79998016357422
1638263219771,831.8425444524546,
1638263219860,,120.84634399414062
1638263219861,889.2988045798326,
1638263219950,946.7681294987414,120.83641052246094
1638263220085,992.2177819318267,120.67742919921875
1638263220175,1027.7227349164932,120.69731140136719
1638263220265,,120.7204818725586
1638263220266,1060.3621908417538,
1638263220401,,120.63438415527344
1638263220402,1085.539712759162,
1638263220490,,120.71056365966797
1638263220491,1111.340187337602,
1638263220581,1128.8980866510478,120.66749572753906
1638263220716,,120.64100646972656
1638263220760,1142.2594045403562,
1638263220805,,120.57144165039062
1638263220806,1160.3375358170151,
1638263220895,1174.0976003565147,120.65093994140625
1638263221030,1178.7234203995706,120.67411804199219
1638263221121,,120.68405151367188
1638263221122,1188.0341287212777,
1638263221210,,120.7668685913086
1638263221211,1192.7194221445839,
1638263221390,,120.69731140136719
1638263221391,1197.4248951544064,
1638263221435,1197.4248951544064,120.7436752319336
1638263221525,1192.7194221445839,120.69398498535156
1638263221615,1188.0341287212777,120.71717834472656
1638263221750,,120.80329895019531
1638263221751,1178.7234203995706,
1638263221840,,120.77017211914062
1638263221841,1169.4914781646617,
1638263221930,1155.7894890576522,120.75028991699219
1638263222065,,120.74699401855469
1638263222066,1137.7870371123897,
1638263222155,,120.77678680419922
1638263222156,1115.702521108099,
1638263222245,,120.79336547851562
1638263222246,1094.0694595065177,
1638263222380,,120.75361633300781
1638263222382,1064.5160635353789,
1638263222471,1027.7227349164932,120.79998016357422
1638263222560,,120.77678680419922
1638263222605,992.2177819318267,
1638263222650,,120.87615966796875
1638263222651,961.685767531953,
1638263222785,,120.82647705078125
1638263222786,939.39399368945,
1638263222875,921.2006631109815,120.85296630859375
1638263222965,,120.81985473632812
1638263222966,906.8900703599686,
1638263223100,,120.82317352294922
1638263223101,896.2963675275317,
1638263223190,,120.83641052246094
1638263223191,889.2988045798326,
1638263223280,,120.72711944580078
1638263223281,885.8195095103594,
1638263223415,,120.78010559082031
1638263223416,885.8195095103594,
1638263223505,889.2988045798326,120.68405151367188
1638263223595,,120.69068908691406
1638263223596,896.2963675275317,
1638263223730,906.8900703599686,120.7138671875
1638263223821,921.2006631109815,120.66087341308594
1638263223910,,120.68075561523438
1638263223911,939.39399368945,
1638263224045,965.4511396055334,120.61450958251953
1638263224136,992.2177819318267,120.60787200927734
1638263224225,1027.7227349164932,120.54826354980469
1638263224360,,120.57144165039062
1638263224405,1060.3621908417538,
1638263224450,1094.0694595065177,120.5118408203125
1638263224540,1115.702521108099,120.5184555053711
1638263224675,,120.50520324707031
1638263224676,1137.7870371123897,
1638263224765,1151.2605238075307,120.48534393310547
1638263224855,,120.538330078125
1638263224856,1169.4914781646617,
1638263224945,1178.7234203995706,120.49195861816406
1638263225080,1188.0341287212777,120.5648193359375
1638263225170,,120.57807922363281
1638263225171,1192.7194221445839,
1638263225305,,120.60125732421875
1638263225306,1197.4248951544064,
1638263225395,,120.57476043701172
