timestamp,bluetooth_le-CE:C9:CF:DE:90:5A-Humidity-1
1636222657368,100
1636222657503,
1636222657592,100
1636222657593,
1636222657682,
1636222657773,100
1636222657818,
1636222657908,
1636222657998,100
1636222657999,
1636222658133,
1636222658223,100
1636222658313,
1636222658493,100
1636222658542,
1636222658627,100
1636222658628,
1636222658852,
1636222658854,100
1636222658897,
1636222658943,
1636222659078,100
1636222659167,
1636222659257,100
1636222659258,
1636222659438,
1636222659484,100
1636222659528,
1636222659573,
1636222659663,100
1636222659753,
1636222659798,
1636222659887,100
1636222659888,
1636222660023,
1636222660113,100
1636222660203,
1636222660294,100
1636222660338,
1636222660428,
1636222660517,100
1636222660518,
1636222660653,
1636222660745,100
1636222660833,
1636222660968,100
1636222661059,
1636222661148,100
1636222661149,
1636222661283,
1636222661418,100
1636222661463,
1636222661553,100
1636222661598,
1636222661688,
1636222661778,100
1636222661913,
1636222662003,100
1636222662004,
1636222662093,
1636222662183,100
1636222662228,
1636222662318,
1636222662408,100
1636222662543,
1636222662633,100
1636222662634,
1636222662723,
1636222662813,100
1636222662858,
1636222662949,
1636222663038,100
1636222663173,
1636222663263,100
1636222663354,
1636222663443,100
1636222663444,
1636222663578,
1636222663669,100
1636222663714,
1636222663758,
1636222663893,100
1636222663894,
1636222663983,
1636222664073,100
1636222664208,
1636222664342,100
1636222664343,
1636222664434,
1636222664523,100
1636222664614,
1636222664703,100
1636222664838,
1636222664929,100
1636222664934,
1636222665063,
1636222665153,100
1636222665154,
1636222665243,
1636222665378,100
1636222665379,
1636222665468,
1636222665557,100
1636222665558,
1636222665648,
1636222665783,100
1636222665873,
1636222665963,100
1636222666098,
1636222666188,100
1636222666189,
1636222666323,
1636222666413,100
1636222666414,
1636222666503,
1636222666638,100
1636222666639,
1636222666728,
1636222666818,100
1636222666819,
1636222666953,
1636222667046,100
1636222667133,
1636222667268,100
1636222667358,
1636222667448,100
1636222667583,
1636222667674,100
1636222667675,
1636222667762,
1636222667898,100
1636222667899,
1636222667988,
1636222668081,100
1636222668213,
1636222668303,100
1636222668394,
1636222668528,100
1636222668529,
1636222668618,
1636222668708,100
1636222668710,
1636222668843,
1636222668933,100
1636222668934,
1636222669023,
1636222669158,100
1636222669293,
1636222669339,100
1636222669340,
1636222669473,
1636222669562,100
1636222669564,
1636222669653,
1636222669788,100
1636222669877,
1636222669967,100
1636222669968,
1636222670103,
1636222670193,100
1636222670194,
1636222670283,
1636222670418,100
1636222670419,
1636222670508,
1636222670598,100
1636222670733,
1636222670823,100
1636222670913,
1636222671048,100
1636222671138,
1636222671228,100
1636222671229,
1636222671363,
1636222671453,100
1636222671454,
1636222671543,
1636222671678,100
1636222671679,
1636222671768,
1636222671859,100
1636222671994,
1636222672083,100
1636222672174,
1636222672308,100
1636222672309,
1636222672398,
1636222672488,100
1636222672623,
1636222672713,100
1636222672803,
1636222672937,100
1636222672938,
1636222673028,
1636222673118,100
1636222673253,
1636222673387,100
1636222673388,
1636222673478,
1636222673568,100
1636222673658,
1636222673793,100
1636222673794,
1636222673883,
1636222673973,100
1636222673975,
1636222674108,
1636222674198,100
1636222674199,
1636222674288,
1636222674378,100
1636222674379,
1636222674514,
1636222674603,100
1636222674604,
1636222674693,
1636222674829,100
1636222674918,
1636222675008,100
1636222675053,
1636222675143,
1636222675234,100
1636222675323,
1636222675458,100
1636222675548,
