Redacted,GT reported,Actual GT,Noise,Visibility,peak detection,Remove,,,,,
,1,3,Not much,Yes,3,No,Change,,,,
,2,3,Yes,okayish,2,CHECK - can keep,Change,,,Remove,
,3,Cant determine,Yes,No,2,Yes,,,,Remove,
,6,6,No,Yes,6,No,,,,,
,7,7,No,Yes,,No,,,,,
,9,9,No,Yes,,No,,,,,
,8,9,No,Yes,9,No,change,,,,
,7,10,No,Yes,10,No,change,,,,
,5,4,No,Yes,4,No,Change,,,,
,6,5,No,Yes,5,No,Change,,,,
,6,6/5,Yes,Yes,5,No,Change/not change,,,,
,6,5,Yes,Yes,2,No,change ,Remove noise,,,
,5,5,No,Yes,2,No,,Remove  noise,,,
,,4,Yes,No,4,Maybe,,Remove noise,,,
,,4,Yes,No,4,Maybe,,Remove noise,,Remove,
,,,,No,,Yes - feeble breathing,,,,Remove,
,,4/5,,No,,Check and remove,,Remove noise,,Remove,
,6,5/6,Yes,No,1,Check and remove,,Check and remove,,,
,7,6,Yes,No,2,Check and remove,change ,Check and remove,,,
,6,6,Yes,Yes,6,No,,,,,
,,,Yes,No,,Yes,,,,Remove,
,6,6,Yes,Yes,6,No,,,,,
,6,6,Yes,Yes,6,No,,,,,
,7,7,No,Yes,7,No,,,,,
,0,3,No,okayish,3,No,Change,Remove noise,,,
,0,6,Yes,okayish,3,,,Remove noise + 600Hz,,,
,,,,,,,,,,,
,,,Yes,NO,,YES,,,,Remove,
,,,Yes,NO,,YES,,,,Remove,
,3,3,No,Yes,3,No,,,,,
,3,3,No,Yes,3,No,,,,,
,3,4,No,Yes,4,No,,,,,
,6,6,No,Yes,6,No,,,,,
,10,10,No,Yes,10,No,,,,,
,7,7,No,Yes,7,No,,,,,
,5,5,No,Yes,6,No,,,,,
,7,7,No,Yes,7,No,,,,,
,7,7,No,Yes,7,No,,,,,
,11,11,No,Yes,11,No,,,,,
,11,10,No,Yes,10,No,Change,,,,
,9,8,No,No,6,Maybe,change,Remove noise,,,
,9,9,No,No,6,Maybe,,Remove noise,,,
,,7,No,Yes,5,No,Change,Remove noise,,,
,,8,No,Yes,3,No,Change,Remove noise,,Remove,
,,7,No,Yes,6,no,Change,Rempve noise,,,
,,8,No,Yes,8,No,,,,,
,6,7,No,Yes,7,No,Change,,,,
,8,7,No,Yes,7,No,Change,,,,
,7,6,No,Yes,6,No,change,,,,
,,3,No,Yes,3,No,Change,,,,
,,4,No,Yes,6,No,Change distance,,,,
,,3,No,Yes,3,no,Chnage,,,,
,,3,No,Yes,3,No,Change,,,,
,5,6,No,Yes,6,No,Change,,,,
,5,4,No,Yes,3,No,Change,,,,
,,,,,,Yes,,,,Remove,
,7,6,Yes,Yes,6,No,Change,,,,
,4,4,No,Yes,5,No,,Remove noise,,Remove,
,5,5,No,Yes,4,No,,Remove noise,,,
,5,5,No,No,0,Maybe,,Remove noise,,,
,4,4,No,No,0,Maybe,,Remove noise,,Remove,
,,,Yes,,,YES - noise,,,,Remove,REMOVE YASHI01
,5,5,Yes,Yes,3,No,,Remove noise,,,
,6,5,No,YEs,5,No,Change,,,,
,7,6,No,YEs,6,No,Change,,,,
,6,6,No,Yes,6,No,,,,,
,0,8,Yes,no,0,No/maybe,,Remove noise,,,
,0,7,Yes,no,0,No/maybe,,Remove noise,,,
,0,7,Yes,no,0,Maybe,,Remove noise,,Remove,
,0,7,Yes,no,0,Yes,,Remove noise,,,
,,,,,,YEs- noise,,,,,
,5,5,Yes,No,,Maybe,,Remove noise,,Remove,
,,,,,,YEs- noise,,,,,
,6,7,No,Yes,7,No,Change,,,,
,6,6,No,Yes,7,No,,,,,
